backend,seed,run_name,iteration,mean_reward,train_wall_s,total_fps
physx,0,physx_s0,0,-0.562590,0.0000,38028.0
physx,0,physx_s0,1,-0.834922,0.3524,142136.0
physx,0,physx_s0,2,-1.397632,0.7011,142623.0
physx,0,physx_s0,3,-1.896685,1.0608,138188.0
physx,0,physx_s0,4,-2.384995,1.4181,139172.0
physx,0,physx_s0,5,-2.665857,1.7718,140503.0
physx,0,physx_s0,6,-2.900459,2.1387,135400.0
physx,0,physx_s0,7,-3.318476,2.4977,138424.0
physx,0,physx_s0,8,-3.365950,2.8628,135967.0
physx,0,physx_s0,9,-3.649401,3.2169,140265.0
physx,0,physx_s0,10,-3.823272,3.5657,142665.0
physx,0,physx_s0,11,-4.004621,3.9247,138353.0
physx,0,physx_s0,12,-3.954775,4.2736,142444.0
physx,0,physx_s0,13,-4.108127,4.6165,145012.0
physx,0,physx_s0,14,-4.004113,4.9595,144915.0
physx,0,physx_s0,15,-4.325737,5.3012,145473.0
physx,0,physx_s0,16,-4.650609,5.6444,144917.0
physx,0,physx_s0,17,-4.675104,5.9840,146432.0
physx,0,physx_s0,18,-5.380168,6.3205,147716.0
physx,0,physx_s0,19,-5.557279,6.6597,146872.0
physx,0,physx_s0,20,-4.851861,7.0047,144313.0
physx,0,physx_s0,21,-5.398917,7.3542,144699.0
physx,0,physx_s0,22,-5.562991,7.7072,140899.0
physx,0,physx_s0,23,-5.663613,8.0482,145675.0
physx,0,physx_s0,24,-5.876229,8.3877,146283.0
physx,0,physx_s0,25,-5.809422,8.7266,146484.0
physx,0,physx_s0,26,-6.021521,9.0625,147859.0
physx,0,physx_s0,27,-5.706977,9.3990,147551.0
physx,0,physx_s0,28,-6.109691,9.7429,144528.0
physx,0,physx_s0,29,-6.012583,10.0970,140231.0
physx,0,physx_s0,30,-5.184804,10.4300,149252.0
physx,0,physx_s0,31,-5.282393,10.7740,144305.0
physx,0,physx_s0,32,-5.576814,11.1114,147211.0
physx,0,physx_s0,33,-6.151028,11.4481,147583.0
physx,0,physx_s0,34,-6.493186,11.7907,145076.0
physx,0,physx_s0,35,-6.102763,12.1328,145200.0
physx,0,physx_s0,36,-6.052318,12.4784,146471.0
physx,0,physx_s0,37,-5.956520,12.8149,147727.0
physx,0,physx_s0,38,-5.723946,13.1572,145145.0
physx,0,physx_s0,39,-5.294873,13.4982,145738.0
physx,0,physx_s0,40,-5.141881,13.8426,144379.0
physx,0,physx_s0,41,-5.596790,14.1862,144644.0
physx,0,physx_s0,42,-6.083356,14.5304,144256.0
physx,0,physx_s0,43,-5.032571,14.8684,146940.0
physx,0,physx_s0,44,-4.985561,15.2071,146770.0
physx,0,physx_s0,45,-4.673176,15.5473,146118.0
physx,0,physx_s0,46,-2.782036,15.8779,150439.0
physx,0,physx_s0,47,-1.794730,16.2190,145571.0
physx,0,physx_s0,48,-1.557067,16.5534,148525.0
physx,0,physx_s0,49,-0.725334,16.8863,149277.0
physx,0,physx_s0,50,-1.724671,17.2189,149348.0
physx,0,physx_s0,51,-1.566784,17.5564,151008.0
physx,0,physx_s0,52,-1.011477,17.8846,151487.0
physx,0,physx_s0,53,-0.238865,18.2139,150805.0
physx,0,physx_s0,54,0.377441,18.5407,151927.0
physx,0,physx_s0,55,1.234972,18.8724,149790.0
physx,0,physx_s0,56,1.231647,19.2015,150891.0
physx,0,physx_s0,57,0.874251,19.5322,150155.0
physx,0,physx_s0,58,2.061053,19.8707,146661.0
physx,0,physx_s0,59,1.104076,20.2036,149299.0
physx,0,physx_s0,60,1.675223,20.5361,149366.0
physx,0,physx_s0,61,3.001816,20.8773,145534.0
physx,0,physx_s0,62,2.876310,21.2195,145093.0
physx,0,physx_s0,63,2.138751,21.5595,146371.0
physx,0,physx_s0,64,1.552938,21.9044,143945.0
physx,0,physx_s0,65,2.071679,22.2403,147828.0
physx,0,physx_s0,66,3.201474,22.5789,149467.0
physx,0,physx_s0,67,3.992597,22.9201,145558.0
physx,0,physx_s0,68,4.592764,23.2516,149806.0
physx,0,physx_s0,69,3.721679,23.6009,142157.0
physx,0,physx_s0,70,3.725327,23.9373,147588.0
physx,0,physx_s0,71,4.209321,24.2846,142907.0
physx,0,physx_s0,72,5.335930,24.6219,147265.0
physx,0,physx_s0,73,6.025746,24.9660,144410.0
physx,0,physx_s0,74,5.406436,25.3007,148348.0
physx,0,physx_s0,75,5.027027,25.6410,145937.0
physx,0,physx_s0,76,4.871098,25.9824,145492.0
physx,0,physx_s0,77,6.155718,26.3179,148142.0
physx,0,physx_s0,78,6.897693,26.6566,146636.0
physx,0,physx_s0,79,6.302751,26.9974,145667.0
physx,0,physx_s0,80,6.108133,27.3309,149084.0
physx,0,physx_s0,81,5.267419,27.6605,150624.0
physx,0,physx_s0,82,5.432619,28.0126,141200.0
physx,0,physx_s0,83,6.597989,28.3615,142350.0
physx,0,physx_s0,84,7.455190,28.7090,143028.0
physx,0,physx_s0,85,7.446453,29.0454,147641.0
physx,0,physx_s0,86,6.914056,29.3867,145609.0
physx,0,physx_s0,87,6.770216,29.7369,141781.0
physx,0,physx_s0,88,7.233147,30.0760,146443.0
physx,0,physx_s0,89,6.773997,30.4127,147515.0
physx,0,physx_s0,90,6.936356,30.7548,145449.0
physx,0,physx_s0,91,6.864102,31.0941,146375.0
physx,0,physx_s0,92,7.982576,31.4271,149114.0
physx,0,physx_s0,93,8.386120,31.7679,145678.0
physx,0,physx_s0,94,8.650132,32.1180,141957.0
physx,0,physx_s0,95,8.044245,32.4546,147547.0
physx,0,physx_s0,96,8.466739,32.7953,147664.0
physx,0,physx_s0,97,8.408184,33.1405,143967.0
physx,0,physx_s0,98,8.175397,33.4753,148313.0
physx,0,physx_s0,99,8.259111,33.8195,144273.0
physx,0,physx_s0,100,8.733517,34.1568,147277.0
physx,0,physx_s0,101,9.973575,34.4953,147614.0
physx,0,physx_s0,102,10.269287,34.8355,145956.0
physx,0,physx_s0,103,9.937573,35.1843,142321.0
physx,0,physx_s0,104,9.093961,35.5321,142715.0
physx,0,physx_s0,105,9.794492,35.8811,142234.0
physx,0,physx_s0,106,9.474240,36.2239,144864.0
physx,0,physx_s0,107,9.204237,36.5769,140905.0
physx,0,physx_s0,108,9.429784,36.9249,142728.0
physx,0,physx_s0,109,9.285627,37.2632,146939.0
physx,0,physx_s0,110,10.167824,37.5980,148367.0
physx,0,physx_s0,111,10.207566,37.9390,145680.0
physx,0,physx_s0,112,8.894228,38.2858,143175.0
physx,0,physx_s0,113,9.046268,38.6505,136193.0
physx,0,physx_s0,114,9.733720,39.0002,142066.0
physx,0,physx_s0,115,9.698950,39.3426,145130.0
physx,0,physx_s0,116,9.565817,39.6816,146624.0
physx,0,physx_s0,117,9.794621,40.0249,144737.0
physx,0,physx_s0,118,10.828640,40.3713,143333.0
physx,0,physx_s0,119,11.682990,40.7182,143244.0
physx,0,physx_s0,120,11.213120,41.0607,145114.0
physx,0,physx_s0,121,10.727793,41.3961,148298.0
physx,0,physx_s0,122,11.453083,41.7401,144410.0
physx,0,physx_s0,123,10.592330,42.0742,148629.0
physx,0,physx_s0,124,10.205568,42.4134,146523.0
physx,0,physx_s0,125,11.487954,42.7511,147008.0
physx,0,physx_s0,126,11.370562,43.0988,142991.0
physx,0,physx_s0,127,10.868458,43.4366,146998.0
physx,0,physx_s0,128,11.644148,43.7770,146015.0
physx,0,physx_s0,129,11.669211,44.1212,144233.0
physx,0,physx_s0,130,11.621763,44.4524,149942.0
physx,0,physx_s0,131,11.769942,44.7988,143416.0
physx,0,physx_s0,132,12.081046,45.1449,143489.0
physx,0,physx_s0,133,12.463074,45.4840,146516.0
physx,0,physx_s0,134,11.692076,45.8236,146156.0
physx,0,physx_s0,135,12.705065,46.1558,149463.0
physx,0,physx_s0,136,13.302197,46.4941,146844.0
physx,0,physx_s0,137,12.418705,46.8352,145575.0
physx,0,physx_s0,138,11.229418,47.1751,146073.0
physx,0,physx_s0,139,11.342081,47.5155,145845.0
physx,0,physx_s0,140,11.789710,47.8593,144399.0
physx,0,physx_s0,141,12.131242,48.2009,145353.0
physx,0,physx_s0,142,11.723121,48.5395,146682.0
physx,0,physx_s0,143,11.859467,48.8849,143722.0
physx,0,physx_s0,144,12.236486,49.2257,145859.0
physx,0,physx_s0,145,12.454720,49.5670,145589.0
physx,0,physx_s0,146,13.016991,49.9126,143795.0
physx,0,physx_s0,147,12.785680,50.2511,146862.0
physx,0,physx_s0,148,12.826349,50.5944,144751.0
physx,0,physx_s0,149,14.175203,50.9378,144750.0
physx,0,physx_s0,150,12.809988,51.2770,146514.0
physx,0,physx_s0,151,13.834867,51.6276,145287.0
physx,0,physx_s0,152,13.840474,51.9730,143885.0
physx,0,physx_s0,153,13.669893,52.3157,144896.0
