backend,seed,run_name,exit_code,total_wall_s,gpu_peak_mib,proc_peak_mib,log_dir
physx,0,physx_s0,0,119.193218986,3830,3247,$ISAACLAB_PATH/logs/rsl_rl/go2flat_bench10/2026-07-02_18-16-56_physx_s0
physx,1,physx_s1,0,117.011903608,3973,3247,$ISAACLAB_PATH/logs/rsl_rl/go2flat_bench10/2026-07-02_18-18-55_physx_s1
physx,2,physx_s2,0,115.412538740,3833,3247,$ISAACLAB_PATH/logs/rsl_rl/go2flat_bench10/2026-07-02_18-20-52_physx_s2
physx,3,physx_s3,0,116.013554168,3743,3247,$ISAACLAB_PATH/logs/rsl_rl/go2flat_bench10/2026-07-02_18-22-48_physx_s3
physx,4,physx_s4,0,112.795610976,3716,3247,$ISAACLAB_PATH/logs/rsl_rl/go2flat_bench10/2026-07-02_18-24-44_physx_s4
physx,5,physx_s5,0,115.592286112,3717,3247,$ISAACLAB_PATH/logs/rsl_rl/go2flat_bench10/2026-07-02_18-26-36_physx_s5
physx,6,physx_s6,0,116.987016647,3567,3247,$ISAACLAB_PATH/logs/rsl_rl/go2flat_bench10/2026-07-02_18-28-32_physx_s6
physx,7,physx_s7,0,114.275041406,3570,3247,$ISAACLAB_PATH/logs/rsl_rl/go2flat_bench10/2026-07-02_18-30-29_physx_s7
physx,8,physx_s8,0,115.491993132,3569,3247,$ISAACLAB_PATH/logs/rsl_rl/go2flat_bench10/2026-07-02_18-32-23_physx_s8
physx,9,physx_s9,0,113.998145013,3571,3247,$ISAACLAB_PATH/logs/rsl_rl/go2flat_bench10/2026-07-02_18-34-19_physx_s9
newton,0,newton_s0,0,79.666753477,908,616,$ISAACLAB_PATH/logs/rsl_rl/go2flat_bench10/2026-07-02_18-36-10_newton_s0
newton,1,newton_s1,0,79.370659336,913,618,$ISAACLAB_PATH/logs/rsl_rl/go2flat_bench10/2026-07-02_18-37-29_newton_s1
newton,2,newton_s2,0,79.676596803,907,618,$ISAACLAB_PATH/logs/rsl_rl/go2flat_bench10/2026-07-02_18-38-49_newton_s2
newton,3,newton_s3,0,79.113143302,907,618,$ISAACLAB_PATH/logs/rsl_rl/go2flat_bench10/2026-07-02_18-40-08_newton_s3
newton,4,newton_s4,0,79.093425892,905,616,$ISAACLAB_PATH/logs/rsl_rl/go2flat_bench10/2026-07-02_18-41-27_newton_s4
newton,5,newton_s5,0,79.795728999,912,618,$ISAACLAB_PATH/logs/rsl_rl/go2flat_bench10/2026-07-02_18-42-47_newton_s5
newton,6,newton_s6,0,78.237048917,907,618,$ISAACLAB_PATH/logs/rsl_rl/go2flat_bench10/2026-07-02_18-44-06_newton_s6
newton,7,newton_s7,0,79.370551242,905,616,$ISAACLAB_PATH/logs/rsl_rl/go2flat_bench10/2026-07-02_18-45-25_newton_s7
newton,8,newton_s8,0,79.213075752,910,618,$ISAACLAB_PATH/logs/rsl_rl/go2flat_bench10/2026-07-02_18-46-44_newton_s8
newton,9,newton_s9,0,79.448728565,912,618,$ISAACLAB_PATH/logs/rsl_rl/go2flat_bench10/2026-07-02_18-48-03_newton_s9
